rank_in_candidate_horizon,sample_flag,auto_candidate,horizon,relation,fib_level,timeframe,n_events,mean_mfe,mean_mae,mean_post_bars_on_break_side,mean_forward_return,rate_close_on_approach_side,rate_crossed_back,mean_post_retest_count,mean_post_remained_near_level_rate,mean_pre_bars_approaching_level,mean_pre_distance_atr_norm,mean_pre_approach_choppiness,mean_at_wick_through_level,mean_at_close_distance_atr_norm
6,ok,failure_candidate,20,cross,0.236,4h,6,0.051801,0.010294,16.166667,0.011981,0.6667,0.5,8.5,0.113333,17.833333,2.52388,7.259969,1699.781283,0.348832
7,ok,failure_candidate,20,cross,0.618,4h,8,0.051112,0.023155,16.625,0.03601,0.75,0.875,8.375,0.065,19.875,2.677288,12.351671,934.654481,0.726667
8,ok,failure_candidate,20,cross,0.382,4h,10,0.039488,0.02818,25.4,0.007377,0.6,0.9,7.7,0.088,13.4,2.303832,4.268056,888.4156,0.359773
9,LOW SAMPLE,failure_candidate,20,touch,0.382,4h,4,0.02989,0.051919,17.25,0.02453,0.25,1.0,9,0.075,14,1.761834,5.021593,2255.697,0.257707
10,LOW SAMPLE,failure_candidate,20,touch,0.5,4h,3,0.021613,0.05997,22,-0.039368,0.6667,1.0,13,0.106667,20,2.628763,3.506453,1174.666667,0.697821
11,LOW SAMPLE,failure_candidate,20,touch,1,4h,1,0.018989,0.052846,28,0.021872,0.0,1.0,19,0.32,6,4.833186,1.903486,2784.0,0.114035
1,LOW SAMPLE,failure_candidate,50,above,0.786,4h,1,0.138762,0.015964,2,0.080946,1.0,1.0,5,0.04,20,2.559058,3.605867,3269.924,0.284731
2,ok,failure_candidate,50,cross,0.786,4h,8,0.116511,0.024827,6.625,0.086962,1.0,0.625,5.875,0.0575,17.25,2.10205,14.402601,2345.0595,0.46383
3,ok,failure_candidate,50,cross,1,4h,10,0.109992,0.029607,5.9,0.005806,0.6,0.9,4.3,0.04,17.6,2.300499,6.476273,1702.0,0.483321
4,ok,failure_candidate,50,cross,0.618,4h,8,0.105338,0.035095,16.625,0.079365,0.625,1.0,8.375,0.065,19.875,2.677288,12.351671,934.654481,0.726667
5,LOW SAMPLE,failure_candidate,50,touch,0.236,4h,1,0.081713,0.021108,4,-0.033055,1.0,1.0,9,0.14,10,3.824765,2.837789,485.943698,0.391564
6,ok,failure_candidate,50,cross,0.5,4h,9,0.081301,0.024388,19.111111,-0.00407,0.7778,1.0,8.777778,0.135556,12.222222,2.593584,5.743729,2068.888889,0.676335
7,ok,failure_candidate,50,cross,0.236,4h,6,0.056824,0.06874,16.166667,0.01444,0.6667,0.8333,8.5,0.113333,17.833333,2.52388,7.259969,1699.781283,0.348832
8,LOW SAMPLE,failure_candidate,50,touch,0.382,4h,4,0.053803,0.074187,17.25,0.072673,0.75,1.0,9,0.075,14,1.761834,5.021593,2255.697,0.257707
9,LOW SAMPLE,failure_candidate,50,touch,1,4h,1,0.050385,0.052846,28,0.017198,0.0,1.0,19,0.32,6,4.833186,1.903486,2784.0,0.114035
10,ok,failure_candidate,50,cross,0.382,4h,10,0.048241,0.064843,25.4,-0.007675,0.4,1.0,7.7,0.088,13.4,2.303832,4.268056,888.4156,0.359773
11,LOW SAMPLE,failure_candidate,50,touch,0.5,4h,3,0.03704,0.05997,22,-0.027233,1.0,1.0,13,0.106667,20,2.628763,3.506453,1174.666667,0.697821
1,LOW SAMPLE,reaction_candidate,5,below,1,4h,3,0.04376,0.04376,23,0.005362,1.0,0.0,6,0.073333,18,2.296958,6.495655,2286.0,0.963887
2,LOW SAMPLE,reaction_candidate,5,cross,0.618,4h,3,0.029143,0.029143,17,0.010649,0.6667,0.6667,5.666667,0.053333,15,2.67164,7.911802,1158.18405,0.179793
3,LOW SAMPLE,reaction_candidate,5,below,0.236,4h,2,0.028726,0.028726,6,0.007233,0.5,0.5,11,0.15,20,3.341083,4.260789,2355.951849,0.442634
4,ok,reaction_candidate,5,touch,1,4h,12,0.028168,0.028168,29.166667,-0.01109,0.5,0.4167,8.416667,0.101667,17.916667,2.293922,4.758665,2703.583333,0.818262
5,LOW SAMPLE,reaction_candidate,5,below,0.5,4h,2,0.024474,0.024474,0.5,-0.001761,1.0,0.5,2,0.01,20,1.361981,8.071528,2626.5,1.794094
6,LOW SAMPLE,reaction_candidate,5,below,0.618,4h,2,0.024337,0.024337,43,0.010635,1.0,0.5,3.5,0.07,5.5,4.796024,2.117439,1648.729924,0.713666
7,ok,reaction_candidate,5,touch,0.382,4h,13,0.024135,0.024135,13,-0.000169,0.7692,0.5385,9.230769,0.107692,14.538462,2.473308,6.293007,1315.629231,0.841676
